0,0,10;Alaska
0,0,20;Hawaii
0,0,30;Burkina-Faso
0,0,40;Northern Territories
0,0,50;West Coast Pacific
0,0,60;Prairie Provinces
0,0,70;Central Canada
0,0,80;Atlantic Region
0,0,90;Pacific
0,0,100;Mountain
0,0,110;West North Central
0,0,120;West South Central
0,0,130;East North Central
0,0,140;East South Central
0,0,150;New England
0,0,160;Mid-Atlantic
0,0,170;South Atlantic
0,0,180;Noroeste
0,0,190;Noreste
0,0,200;Occidente
0,0,210;Oriente
0,0,220;Centronorte
0,0,230;Centrosur
0,0,240;Sureste
0,0,250;Suroeste
0,10,4;Guatemala
0,10,14;Belize
0,10,24;Gonduras
0,10,34;Salvador
0,10,44;Nicaragua
0,10,54;Costa Rica
0,10,64;Panama
0,10,74;Jamaica
0,10,84;West Cuba
0,10,94;Central Cuba
0,10,104;East Cuba
0,10,114;Bahamas
0,10,124;Puerto Rico
0,10,134;British Territories In the North Atlantic Ocean
0,10,144;Haiti
0,10,154;Dominican Republic
0,10,164;Saint Kitts and Nevis
0,10,174;Antigua and Barbuda
0,10,184;Guadeloupe and Martinique
0,10,194;Dominica
0,10,204;Saint Lucia
0,10,214;Saint Vincent and the Grenadines
0,10,224;Barbados
0,10,234;Grenada
0,10,244;Trinidad and Tobago
0,10,254;East Venezuela
0,20,8;Caracas
0,20,18;West Venezuela
0,20,28;Region Caribe
0,20,38;Region Pacifica
0,20,48;Region Andina
0,20,58;Region Llanos Orientales
0,20,68;Region Amazonia
0,20,78;Ecuador Costa
0,20,88;Ecuador Sierra
0,20,98;Ecuador Oriente
0,20,108;Galapagos Islands
0,20,118;Peru Coast
0,20,128;Peru Andes
0,20,138;Peru Amazonia
0,20,148;Bolivia
0,20,158;North Chile
0,20,168;Central Chile
0,20,178;South Chile
0,20,188;Patagonia
0,20,198;Pampas
0,20,208;Mesopotamia
0,20,218;Cuyo
0,20,228;Andean Northwest
0,20,238;Paraguay
0,20,248;Uruguay
0,30,2;South Brazil
0,30,12;Southeast Brazil
0,30,22;Central-West Brazil
0,30,32;Northeast Brazil
0,30,42;North Brazil
0,30,52;French guiana
0,30,62;Suriname
0,30,72;Guyana
0,30,82;Cabo Verde
0,30,92;West Sakhara
0,30,102;Mavritaniya
0,30,112;Senegal
0,30,122;Gambia
0,30,132;Guinea-Bissau
0,30,142;Guinea
0,30,152;Sierra Leone
0,30,162;Liberia
0,30,172;Cote d'Ivoire
0,30,182;Gana
0,30,192;Togo
0,30,202;Benin
0,30,212;South West Nigeria
0,30,222;South Nigeria
0,30,232;South East Nigeria
0,30,242;North Central Nigeria
0,30,252;North West Nigeria
0,40,6;North East Nigeria
0,40,16;North Cameroon
