Canada;21;23;24;40;33;20;35;32;35;30
USA;59;102;79;99;81;68;54;124;68;145
Singapore;27;29;25;0;34;26;34;39;34;37
Burkina-Faso;38;34;23;0;28;25;25;32;32;32
Mexico;24;16;32;16;16;37;36;26;32;31
Guatemala;32;27;26;0;23;32;23;38;36;25
Belize;29;27;24;0;36;29;38;25;24;38
Gonduras;23;38;35;0;24;36;30;27;26;26
Salvador;32;37;31;0;30;31;39;22;20;30
Nicaragua;25;22;32;0;27;33;28;39;24;26
Costa Rica;36;23;35;0;28;21;31;31;27;31
Panama;28;31;8;0;28;37;30;33;20;21
Jamaica;21;20;28;0;35;36;26;35;16;23
Cuba;20;29;31;0;36;25;22;20;33;33
Bahamas;35;27;39;0;20;25;20;39;26;27
Puerto Rico;30;36;34;0;39;34;39;26;31;36
UK;48;224;33;0;160;39;25;38;37;36
Haiti;24;26;28;0;32;28;28;29;16;35
Dominican Republic;37;23;32;0;33;34;25;28;39;33
Saint Kitts and Nevis;28;23;26;0;29;33;26;27;34;23
Antigua and Barbuda;31;28;32;0;26;23;25;21;34;23
France;62;71;66;61;40;45;72;68;136;57
Dominica;38;25;34;0;29;30;29;35;23;22
Saint Lucia;26;26;20;0;36;35;21;25;30;24
Saint Vincent and the Grenadines;22;25;25;0;25;30;31;20;28;24
Barbados;29;27;26;0;35;22;25;36;37;38
Grenada;38;35;20;0;35;38;21;31;30;24
Trinidad and Tobago;22;27;35;0;25;34;22;39;35;29
Venezuela;8;29;33;0;21;32;25;22;27;31
Colombia;32;32;33;0;21;34;28;38;26;27
Ecuador;27;24;24;0;34;30;37;30;28;36
Peru;16;38;25;0;27;21;28;33;25;37
Bolivia;32;38;31;0;21;35;25;34;25;25
Chile;24;32;28;0;24;25;37;39;21;27
Argentina;32;31;33;0;8;27;22;39;33;38
Paraguay;37;22;31;0;37;37;34;35;20;21
Uruguay;39;37;37;0;32;28;38;27;31;25
Brazil;32;24;16;0;21;23;26;28;16;26
Suriname;36;36;29;0;30;32;36;34;33;23
Guyana;38;24;38;0;27;31;35;36;36;37
Cabo Verde;26;29;31;0;25;28;32;36;25;21
West Sakhara;31;27;30;0;27;32;25;30;31;38
Mavritaniya;27;34;27;0;28;22;25;27;38;36
Senegal;23;23;33;0;23;38;22;33;38;26
Gambia;28;32;25;0;35;32;34;35;24;20
Guinea-Bissau;34;27;29;0;23;24;20;39;35;36
Guinea;25;22;25;0;33;30;31;33;37;28
Sierra Leone;24;25;28;0;29;39;36;25;39;36
Liberia;33;28;28;0;30;38;38;37;25;33
Cote d'Ivoire;21;30;29;0;31;21;20;24;38;40
Gana;22;36;37;0;33;27;30;35;28;33
Togo;28;27;20;0;23;26;29;36;25;37
Benin;24;32;24;0;39;24;32;22;21;25
Nigeria;8;27;34;0;24;36;28;23;25;20
Cameroon;21;21;37;0;22;39;23;38;35;29
Gabon;8;33;39;0;22;36;31;38;20;24
Equatorial Guinea;34;38;32;0;31;29;27;31;23;39
Sao Tome;30;25;28;0;36;22;34;23;23;37
Congo;37;39;32;0;34;30;31;23;31;27
Democratic Republic of the Congo;25;32;26;0;33;34;36;24;33;24
Angola;23;39;23;0;33;27;21;20;22;27
Namibia;29;38;34;0;27;31;23;37;30;22
South African Republic;24;22;40;0;26;39;31;29;32;36
Lesotho;23;27;30;0;20;20;27;24;34;22
Eswatini;33;35;25;0;22;28;22;26;27;36
Botswana;39;25;25;0;25;24;21;26;32;30
