Canada;100;0;0;0;0;0;0;0;0;0;0;200;0;0;0;400;0;400;300;0;0;0;0;0;0;0;0
USA;1150;0;0;0;0;0;0;0;0;0;0;200;640;0;0;600;0;400;500;0;0;0;0;0;0;0;0
Singapore;30;0;0;0;0;0;0;0;0;0;0;200;0;0;0;400;0;400;300;0;0;0;0;0;0;0;0
Burkina-Faso;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Mexico;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;160;0;200;100
Guatemala;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Belize;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Gonduras;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Salvador;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Nicaragua;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Costa Rica;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Panama;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Jamaica;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Cuba;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Bahamas;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Puerto Rico;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
UK;310;0;0;0;0;0;0;0;0;0;0;480;0;0;0;400;0;400;500;0;0;0;0;0;0;0;0
Haiti;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Dominican Republic;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Saint Kitts and Nevis;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Antigua and Barbuda;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
France;360;0;0;0;0;0;0;0;0;0;0;200;560;0;0;400;0;400;300;0;0;0;0;0;0;0;0
Dominica;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Saint Lucia;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Saint Vincent and the Grenadines;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Barbados;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Grenada;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Trinidad and Tobago;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Venezuela;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Colombia;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Ecuador;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Peru;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Bolivia;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Chile;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Argentina;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;240;0;200;100
Paraguay;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Uruguay;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Brazil;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;40;0;200;0;200;100
Suriname;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Guyana;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
Cabo Verde;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;200;0;200;100
